workerid,proliferate.condition,correct,response,result,rt,stimulus
101,English_Mandarin_some,,"{'P0_Q1': None, 'comments': ''}",,5808,
109,English_Mandarin_some,,"{'P0_Q1': None, 'comments': ''}",,4111,
114,English_Mandarin_some,,"{'P0_Q1': None, 'comments': ''}",,1616,
105,English_Mandarin_some,,"{'P0_Q1': None, 'comments': ''}",,3288,
121,English_Mandarin_some,,"{'P0_Q1': None, 'comments': '我住在蒙特利尔，所以一部分时间身边的人说法语。我平时工作学习以及与朋友交流说英语。 It\'s also not super clear what you meant by ""family"". When I think about the word ""family"", I think you are referring to family at home (mainland china). However, would a partner fall in that definition? I speak English exclusively with my partner.'}",,164531,
104,Mandarin_English_summa,,"{'P0_Q1': None, 'comments': 'n/a'}",,35181,
117,Mandarin_English_summa,,"{'P0_Q1': None, 'comments': ''}",,2782,
100,Mandarin_English_summa,,"{'P0_Q1': None, 'comments': ''}",,2257,
126,Mandarin_English_summa,,"{'P0_Q1': None, 'comments': ''}",,3405,
108,Mandarin_English_summa,,"{'P0_Q1': None, 'comments': ''}",,686850,
113,Mandarin_English_summa,,"{'P0_Q1': None, 'comments': ''}",,3029,
112,English_Mandarin_summa,,"{'P0_Q1': None, 'comments': ''}",,2410,
107,English_Mandarin_summa,,"{'P0_Q1': None, 'comments': ''}",,3780,
124,English_Mandarin_summa,,"{'P0_Q1': None, 'comments': 'I enjoyed this experiment!'}",,29215,
119,English_Mandarin_summa,,"{'P0_Q1': None, 'comments': ''}",,2978,
103,English_Mandarin_summa,,"{'P0_Q1': None, 'comments': ''}",,3804,
106,Mandarin_English_some,,"{'P0_Q1': None, 'comments': ''}",,2906,
115,Mandarin_English_some,,"{'P0_Q1': None, 'comments': ''}",,1820,
122,Mandarin_English_some,,"{'P0_Q1': None, 'comments': ''}",,3195,
102,Mandarin_English_some,,"{'P0_Q1': None, 'comments': ''}",,2629,
110,Mandarin_English_some,,"{'P0_Q1': None, 'comments': ''}",,2351,
